Dataset,Mode,Split,Accuracy,Recall,Precision,F1,FPR,TrainError
B,hard,75/25,0.985,0.984,0.9859719438877755,0.984984984984985,0.014,84.0
B,hard,25/75,0.987,0.9813333333333333,0.9925826028320971,0.9869259135098893,0.007333333333333333,48.0
B,soft,75/25,0.986,0.992,0.9802371541501976,0.9860834990059643,0.02,265.2881132570927
B,soft,25/75,0.9636666666666667,0.9993333333333333,0.9327940261356565,0.9649179272610235,0.072,123.51546187349298
