Dataset,Mode,Split,Accuracy,Recall,Precision,F1,FPR,TrainError
C,hard,75/25,0.5,0.996,0.5,0.6657754010695187,0.996,1106.0
C,hard,25/75,0.727,0.7826666666666666,0.704259148170366,0.7413956425639406,0.32866666666666666,383.0
C,soft,75/25,0.708,0.792,0.678082191780822,0.7306273062730627,0.376,360.45333643064373
C,soft,25/75,0.513,0.974,0.5067637877211238,0.6666666666666666,0.948,130.46207456477083
